gene_symbol;fpkm_ctl_B_1D6_d7;fpkm_ctl_B_4C2_d7;fpkm_ctl_B_WTC11_d7;fpkm_het_B_2A3_d7;fpkm_het_B_3D4_8_d7;fpkm_het_B_4A4_d7;fpkm_hom_B_2B1_9_d7;fpkm_hom_B_2B4_1_d7;fpkm_hom_B_3D6_d7;average_fpkm_ctl_BMP_d7;average_fpkm_het_BMP_d7;average_fpkm_hom_BMP_d7;log2fc_het_BMP_D7_vs_ctl_BMP_D7;padj_het_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_ctl_BMP_D7;padj_hom_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_het_BMP_D7;padj_hom_BMP_D7_vs_het_BMP_D7
MYO5C;0.94;0.71;0.82;1.19;1.05;1.21;1.64;1.46;1.54;0.823333333;1.15;1.546666667;0.428960908;0.99985652;0.846441342;0.009669934;0.413389083;0.457460121
PRDM8;0.17;0.62;0.38;0.67;0.31;0.96;1.1;2.04;1.27;0.39;0.646666667;1.47;0.70094969;0.99985652;1.876316773;0.003302631;1.171607133;0.213062285
TFAP2A;0.53;0.86;1.99;1.12;0.14;0.96;0.02;0.04;0.07;1.126666667;0.74;0.043333333;-0.700082869;0.99985652;-4.837828709;9.54E-08;-4.138321043;0.001629004
CORIN;3.51;1.54;4.46;2.74;2.83;2.73;0.73;0.4;0.79;3.17;2.766666667;0.64;-0.003954876;0.99985652;-2.190732335;3.46E-05;-2.189460237;4.53E-09
MUSTN1;59.36;125;90.51;66.11;41.58;56.31;14.65;16.16;17.18;91.62333333;54.66666667;15.99666667;-0.958663145;0.607878043;-2.735083587;8.12E-17;-1.779366838;3.58E-12
BNIP3;85.7;90.56;88.68;49.8;73.4;29.16;57.5;53.6;63.09;88.31333333;50.78666667;58.06333333;-0.887581937;0.778912291;-0.690164742;1.86E-05;0.193995452;0.999982966
ATP1A2;20.66;17.53;24.22;17.44;19.59;14.98;9.81;8.22;13.28;20.80333333;17.33666667;10.43666667;-0.304832815;0.99985652;-1.019591676;0.000495026;-0.717746313;0.026789925
SOX10;3.78;10.77;23.25;10.32;2.69;8.04;0;0;0.04;12.6;7.016666667;0.013333333;-0.932447249;0.99985652;-9.914881332;6.52E-09;-8.982185827;1.94E-09
L1CAM;4.15;5.03;7.02;6.46;2.82;4.71;3.14;2.57;2.64;5.4;4.663333333;2.783333333;-0.298440285;0.99985652;-1.007470012;0.001105379;-0.711557252;0.294083642
CRABP1;450.38;648.88;480.75;480.77;311.57;384.71;285.74;360.32;335.99;526.67;392.35;327.35;-0.57938588;0.850649957;-0.830082341;0.002187889;-0.253915001;0.967118977
P4HA1;105.38;59.79;90.95;36.37;81.11;31.97;46.94;39.87;53.42;85.37333333;49.81666667;46.74333333;-0.845607488;0.99985652;-0.934994561;0.002600093;-0.093423212;0.999982966
BCO1;12.26;9.66;9.93;6.4;9.17;6.57;7.12;7.38;7.23;10.61666667;7.38;7.243333333;-0.572920962;0.949672122;-0.650480625;0.009374091;-0.081023838;0.999982966
PDLIM5;5;5.97;5.54;9.43;5.89;9.57;8.01;10.46;9.03;5.503333333;8.296666667;9.166666667;0.53759076;0.874891704;0.74861217;0.001306426;0.207362171;0.999982966
BMP4;4.82;6.24;10.22;8.78;6.09;7.87;1.92;1.8;2.04;7.093333333;7.58;1.92;-0.029039979;0.99985652;-2.034712324;2.92E-08;-2.008625528;6.19E-16
PAX7;6.88;7.65;9.75;17.13;10.22;20.92;14.71;12.91;15.29;8.093333333;16.09;14.30333333;0.909828836;0.317980138;0.72313853;0.001145478;-0.189031108;0.999982966
