gene_symbol;fpkm_ctl_N_1D6_d7;fpkm_ctl_N_4C2_d7;fpkm_ctl_N_WTC11_d7;fpkm_het_N_2A3_d7;fpkm_het_N_3D4_8_d7;fpkm_het_N_4A4_d7;fpkm_hom_N_2B1_9_d7;fpkm_hom_N_2B4_1_d7;fpkm_hom_N_3D6_d7;average_fpkm_ctl_NO_d7;average_fpkm_het_NO_d7;average_fpkm_hom_NO_d7;log2fc_het_NO_D7_vs_ctl_NO_D7;padj_het_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_ctl_NO_D7;padj_hom_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_het_NO_D7;padj_hom_NO_D7_vs_het_NO_D7
KIF21B;7.77;4.45;5.51;3.23;4.12;2.93;5.33;5.2;7.36;5.91;3.426666667;5.963333333;-0.849530532;0.028646305;-0.026011161;0.979262504;0.819588159;0.004902041
SCUBE1;1.12;5.29;2.27;5.47;2.02;5.21;1.5;1.89;1.16;2.893333333;4.233333333;1.516666667;0.52914484;0.699705772;-0.927241659;0.639892982;-1.459389585;0.000674235
SORCS3;1.05;2.24;2.08;2.8;1.67;1.86;0.71;0.41;0.83;1.79;2.11;0.65;0.249111627;0.679346496;-1.477509099;0.040073894;-1.728493917;4.09E-05
PDGFRA;0.43;1.31;0.45;0.82;1.41;0.83;0.2;0.15;0.31;0.73;1.02;0.22;0.48238686;;-1.680408087;0.239449862;-2.164829428;1.75E-05
CAMK2N1;39.37;34.43;24.14;24.3;26.28;25.42;38.86;58.34;38.65;32.64666667;25.33333333;45.28333333;-0.41228316;0.175394127;0.4393951;0.54715365;0.846495681;0.000527289
CRIM1;6.85;9.88;8.06;12.12;6.79;9.97;5.42;3.99;5.41;8.263333333;9.626666667;4.94;0.214773125;0.558329271;-0.779453432;0.030981479;-0.996517197;0.000687888
WNT4;0.12;0.74;0.67;1.9;0.75;1.04;0.06;0.16;0.33;0.51;1.23;0.183333333;1.125403001;;-1.9633428;0.454328388;-3.091358281;2.73E-05
OLIG3;0.6;3.31;3.74;8.61;3.07;6.22;1.72;1.01;1.26;2.55;5.966666667;1.33;1.178074232;0.395734403;-0.96757456;0.594722625;-2.147492449;4.78E-06
GAS1;98.48;150.17;116.32;194.75;151.84;189.56;125.49;91.44;112.5;121.6566667;178.7166667;109.81;0.514177953;0.034477186;-0.174979243;0.73475961;-0.69175883;0.000444868
BCL2L11;15.03;11.47;10.43;7.38;10.64;7.29;16.31;13.99;18.99;12.31;8.436666667;16.43;-0.567107157;0.124881197;0.406500882;0.536854552;0.969847989;0.000444868
SOX11;15.67;7.69;11;7.87;6.47;10.06;16.07;14.23;12.62;11.45333333;8.133333333;14.30666667;-0.550250551;0.214753015;0.279919359;0.714041063;0.826125329;0.000272878
OPRK1;0.21;0.54;0.72;1.23;0.7;1.64;0.5;0.3;0.26;0.49;1.19;0.353333333;1.242944844;;-0.50440684;0.760566522;-1.749669185;0.003681111
MAN2B1;44.19;35.4;47.05;33.12;39.75;27.16;55.52;60.47;46.43;42.21333333;33.34333333;54.14;-0.393043284;0.218687222;0.321819044;0.571952357;0.709597637;0.006527919
INPP5F;25.75;23.19;23.3;7;6.55;20.79;27.9;28.4;24.95;24.08;11.44666667;27.08333333;-0.934116171;0.040722724;0.113087819;0.79044577;1.04392764;0.008322017
RAB38;16.16;19.09;20.72;22.46;18.05;22.4;9.68;10.1;11.77;18.65666667;20.97;10.51666667;0.112051694;0.760483736;-0.827026787;0.025390388;-0.942475761;6.13E-05
NKD1;1.16;1.84;1.74;1.89;1.64;1.79;1.19;1.05;1.25;1.58;1.773333333;1.163333333;0.127391985;0.720094336;-0.464914733;0.483712317;-0.595519987;0.007279551
SLC1A3;3.93;8.11;5.5;9.44;7.06;8.96;5.87;5.52;4.24;5.846666667;8.486666667;5.21;0.517482766;0.204730094;-0.260367528;0.7405851;-0.781332347;0.002378074
RAB3B;2.9;2.09;2.14;1.32;1.64;1.24;2;2.88;2.58;2.376666667;1.4;2.486666667;-0.809023039;0.014474011;0.031043106;0.970523718;0.83511273;0.004376485
WNT3A;3.32;3.59;4.99;7.98;6.64;6.3;2.35;1.97;2.07;3.966666667;6.973333333;2.13;0.763892965;0.02843265;-0.936017832;0.070042623;-1.70344438;7.47E-15
PAK3;0.73;2.46;1.27;2.82;1.28;2.62;1.03;0.69;0.72;1.486666667;2.24;0.813333333;0.565227072;0.426086133;-0.826934847;0.51209775;-1.393706455;0.001519326
